 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MALLAU_P4_R1_W_00001.jpg,0.2,21.5,2.7,21.5,2.7,10.9,21.4,0.0,0.2,5.3,5.8,0.0,91.9,0.0,5.4,5084,0,92.0,0.0,140.7,0.0,0.8
2,MALLAU_P4_R1_W_00001.jpg,1.5,0.1,3.3,0.1,3.3,13.7,0.0,0.0,0.3,6.4,6.9,0.3,89.9,0.1,6.4,0,1522,87.7,0.3,25.3,0.0,0.9
3,MALLAU_P4_R1_W_00001.jpg,28.1,14.1,2.8,14.1,2.8,28.6,8.6,0.8,10.6,4.0,9.3,3.8,1.7,0.4,10.6,2044,827,179.1,3.9,2.4,0.4,0.9
4,MALLAU_P4_R1_W_00001.jpg,37.9,10.5,8.7,10.5,8.7,32.3,4.7,5.8,11.4,5.2,9.9,4.9,169.6,0.5,11.6,1104,1935,172.1,5.1,2.0,0.5,0.9
5,MALLAU_P4_R1_W_00001.jpg,30.1,1.2,14.1,1.2,14.1,224.3,0.0,6.4,21.6,21.2,14.2,2.7,92.7,0.0,30.2,0,1532,135.7,15.9,5.3,0.2,0.1
6,MALLAU_P4_R1_W_00001.jpg,0.0,2.1,6.6,2.1,6.6,1.0,2.0,6.4,0.0,0.4,0.4,0.0,91.8,0.2,0.4,487,1523,95.3,0.0,11.4,0.1,0.8
7,MALLAU_P4_R1_W_00001.jpg,0.0,2.1,7.1,2.1,7.1,0.9,2.1,7.0,0.0,0.4,0.4,0.0,92.4,0.2,0.4,490,1648,93.9,0.0,10.1,0.1,0.8
8,MALLAU_P4_R1_W_00001.jpg,0.0,2.2,10.2,2.2,10.2,1.1,2.2,10.0,0.1,0.5,0.5,0.0,92.3,0.1,0.5,512,2360,96.1,0.0,13.9,0.1,0.8
9,MALLAU_P4_R1_W_00001.jpg,31.1,15.8,15.1,15.8,15.1,27.8,10.9,12.7,9.7,4.7,8.9,4.4,171.0,0.5,9.8,2583,3384,171.6,4.6,2.0,0.5,1.0
10,MALLAU_P4_R1_W_00001.jpg,15.2,8.6,19.2,8.6,19.2,22.1,4.2,17.6,8.2,3.0,6.9,2.8,174.0,0.4,8.2,988,4434,173.6,2.9,2.5,0.4,0.9
11,MALLAU_P4_R1_W_00001.jpg,36.6,15.3,24.2,15.3,24.2,32.5,8.9,21.5,12.1,5.2,10.2,4.6,166.8,0.4,12.4,2104,5263,167.0,4.7,2.2,0.4,0.9
