 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MALLAU_P3_R1_W_00002.jpg,8.5,15.0,4.1,15.0,4.1,17.2,12.1,3.0,6.4,2.3,5.2,2.1,168.6,0.4,6.6,2861,732,165.1,2.2,2.6,0.4,0.9
2,MALLAU_P3_R1_W_00002.jpg,32.2,1.2,14.0,1.2,13.9,112.7,0.0,6.3,2.4,21.3,17.0,2.4,90.8,0.0,21.4,98,6543,85.6,2.2,7.1,0.1,0.8
3,MALLAU_P3_R1_W_00002.jpg,10.2,10.8,8.3,10.8,8.3,17.3,7.8,7.2,6.6,2.4,5.7,2.3,179.2,0.4,6.6,1841,1949,179.4,2.4,2.6,0.4,0.9
4,MALLAU_P3_R1_W_00002.jpg,6.4,15.9,13.8,15.9,13.8,14.7,13.3,12.6,5.4,2.3,4.7,1.7,14.2,0.4,5.6,3161,3359,15.6,1.8,2.7,0.4,0.9
5,MALLAU_P3_R1_W_00002.jpg,6.9,11.0,19.9,11.0,19.9,15.4,9.0,17.8,3.9,3.8,4.3,2.0,46.8,0.4,5.3,2145,5099,43.0,2.2,2.1,0.5,0.9
6,MALLAU_P3_R1_W_00002.jpg,5.0,14.0,22.8,14.0,22.8,12.9,11.6,21.9,5.3,1.7,4.5,1.4,9.4,0.4,5.3,2753,5504,6.7,1.5,3.1,0.3,0.9
