 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,SALAPI_P10_R1_W_00001.jpg,0.1,0.2,0.1,0.2,0.1,2.9,0.0,0.0,0.6,0.6,0.4,0.2,41.0,0.1,0.8,1,141,46.2,0.4,2.0,0.5,0.3
2,SALAPI_P10_R1_W_00001.jpg,3.7,16.4,6.0,16.4,6.0,11.6,13.7,5.2,4.5,1.6,3.9,1.2,166.7,0.3,4.6,3260,1247,166.6,1.3,3.2,0.3,0.9
3,SALAPI_P10_R1_W_00001.jpg,30.2,1.0,14.2,1.0,14.2,85.7,0.0,6.7,2.1,15.1,16.9,2.3,89.9,0.1,15.2,0,5174,82.2,2.1,7.5,0.1,1.0
4,SALAPI_P10_R1_W_00001.jpg,4.0,11.0,8.1,11.1,8.1,12.7,8.2,7.4,5.1,1.4,4.1,1.2,179.4,0.3,5.1,1940,1948,178.4,1.4,3.4,0.3,0.9
5,SALAPI_P10_R1_W_00001.jpg,3.9,16.0,12.7,16.0,12.7,11.6,13.3,12.0,4.9,1.5,4.0,1.2,171.3,0.4,4.9,3146,2904,172.9,1.4,3.3,0.3,0.9
6,SALAPI_P10_R1_W_00001.jpg,4.2,9.1,17.4,9.1,17.4,12.5,6.3,16.6,4.9,1.5,4.1,1.3,171.1,0.3,5.0,1486,4018,169.6,1.4,3.1,0.3,0.9
7,SALAPI_P10_R1_W_00001.jpg,4.4,16.0,21.8,16.0,21.8,12.6,13.5,20.1,4.2,3.0,4.1,1.4,144.0,0.3,5.0,3208,4791,145.4,1.5,3.0,0.3,0.9
8,SALAPI_P10_R1_W_00001.jpg,0.0,20.8,21.1,20.8,21.1,1.1,20.7,21.0,0.2,0.2,0.2,0.1,49.2,0.1,0.3,4918,5017,49.5,0.1,2.8,0.4,0.4
9,SALAPI_P10_R1_W_00001.jpg,0.0,8.7,27.1,8.7,27.1,0.5,8.6,27.1,0.1,0.1,0.1,0.1,143.8,0.6,0.2,2051,6420,146.7,0.1,1.5,0.7,0.9
