 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,SALAPI_P9_R1_W_00001.jpg,0.3,0.9,2.4,0.9,2.4,15.7,0.5,0.0,1.7,6.1,1.7,0.2,82.3,0.0,6.3,124,1442,74.9,1.4,7.0,0.1,0.1
2,SALAPI_P9_R1_W_00001.jpg,10.1,16.8,4.1,16.8,4.1,20.1,12.2,3.0,8.0,2.2,6.6,1.9,4.0,0.3,8.1,2896,1064,5.3,2.1,3.4,0.3,0.9
3,SALAPI_P9_R1_W_00001.jpg,31.9,1.3,13.6,1.3,13.6,71.6,0.0,6.1,2.7,15.1,16.9,2.4,87.6,0.1,15.2,4,5017,79.9,2.2,7.0,0.1,1.0
4,SALAPI_P9_R1_W_00001.jpg,9.5,10.1,9.1,10.1,9.1,20.2,5.5,8.2,7.9,2.1,6.5,1.9,3.2,0.3,7.9,1308,2176,4.2,2.0,3.5,0.3,0.9
5,SALAPI_P9_R1_W_00001.jpg,10.8,15.3,14.6,15.4,14.6,20.7,10.4,13.4,8.5,2.4,7.2,1.9,11.4,0.3,8.7,2468,3685,12.3,2.1,3.8,0.3,0.9
6,SALAPI_P9_R1_W_00001.jpg,11.5,9.5,18.1,9.5,18.1,20.6,4.8,16.9,8.3,2.3,6.9,2.1,177.3,0.3,8.3,1148,4145,175.1,2.3,3.3,0.3,0.9
7,SALAPI_P9_R1_W_00001.jpg,9.5,14.5,22.4,14.5,22.4,19.5,10.0,21.2,7.9,2.3,6.5,1.8,169.5,0.3,8.0,2373,5092,171.1,2.0,3.5,0.3,0.9
8,SALAPI_P9_R1_W_00001.jpg,0.0,8.5,26.7,8.5,26.7,0.5,8.5,26.7,0.1,0.1,0.1,0.1,139.2,0.7,0.2,2011,6327,145.9,0.1,1.5,0.6,0.9
