 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MALLAU_P5_R1_W_00001.jpg,0.6,21.0,8.5,21.0,8.5,34.8,20.9,0.0,0.2,17.0,18.6,0.0,90.7,0.0,17.0,4952,0,90.7,0.1,431.0,0.0,0.7
2,MALLAU_P5_R1_W_00001.jpg,9.4,16.7,6.4,16.7,6.4,19.8,14.0,5.2,5.6,2.3,5.2,2.3,179.9,0.3,5.6,3308,1513,179.1,2.3,2.2,0.4,0.9
3,MALLAU_P5_R1_W_00001.jpg,24.5,0.8,14.1,0.8,14.0,62.8,0.0,6.7,1.8,15.1,16.9,1.8,89.6,0.1,15.1,52,1594,94.8,1.8,9.1,0.1,1.0
4,MALLAU_P5_R1_W_00001.jpg,13.5,8.8,9.3,8.7,9.3,21.6,5.7,7.6,6.5,3.2,5.6,3.1,2.8,0.4,6.6,1344,2293,5.2,3.2,1.8,0.5,0.9
5,MALLAU_P5_R1_W_00001.jpg,13.5,15.9,13.7,15.9,13.7,26.5,12.5,12.1,7.5,3.2,6.6,2.6,14.1,0.2,7.6,2969,3514,10.1,2.8,2.5,0.4,0.9
6,MALLAU_P5_R1_W_00001.jpg,7.4,8.1,17.7,8.1,17.7,14.8,6.3,16.2,4.7,3.1,4.3,2.2,147.0,0.4,5.1,1501,3902,154.5,2.1,2.0,0.5,0.9
7,MALLAU_P5_R1_W_00001.jpg,7.4,14.8,22.5,14.8,22.5,14.2,12.5,21.4,4.8,2.2,4.4,2.1,173.4,0.5,4.9,2973,5267,169.1,2.2,2.1,0.5,0.9
8,MALLAU_P5_R1_W_00001.jpg,0.2,10.6,27.6,10.6,27.6,42.3,0.0,27.6,21.1,0.0,23.8,0.0,3.978E-5,0.0,21.1,0,6537,180.0,0.0,2498.7,4.002E-4,0.6
