 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,ERIKAR_P5_R1_W_00001.jpg,0.6,17.0,5.2,17.0,5.2,4.9,15.9,4.9,2.0,0.6,1.7,0.5,1.1,0.3,2.0,3772,1229,2.7,0.6,3.5,0.3,0.9
2,ERIKAR_P5_R1_W_00001.jpg,0.5,9.1,8.2,9.1,8.2,4.3,8.3,7.9,1.7,0.6,1.5,0.5,178.8,0.4,1.7,1957,1928,176.8,0.5,3.2,0.3,0.9
3,ERIKAR_P5_R1_W_00001.jpg,32.7,2.5,17.7,2.5,17.6,127.7,1.1,10.1,2.8,15.1,16.8,2.5,87.9,0.0,15.2,261,5954,79.9,2.3,6.8,0.1,0.9
4,ERIKAR_P5_R1_W_00001.jpg,0.4,15.4,11.4,15.4,11.4,4.3,14.7,11.1,1.5,0.5,1.4,0.4,13.9,0.3,1.6,3475,2733,13.5,0.5,3.5,0.3,0.9
5,ERIKAR_P5_R1_W_00001.jpg,0.0,1.6,11.8,1.5,11.8,1.9,1.5,11.5,0.1,0.7,0.6,0.0,87.5,0.0,0.7,362,2876,86.4,0.1,22.6,0.0,0.5
6,ERIKAR_P5_R1_W_00001.jpg,0.0,1.5,13.4,1.5,13.4,1.3,1.5,13.2,0.1,0.5,0.4,0.0,88.3,0.1,0.5,352,3236,86.8,0.1,14.1,0.1,0.5
7,ERIKAR_P5_R1_W_00001.jpg,0.0,1.4,15.6,1.4,15.6,2.3,1.4,15.3,0.1,0.8,0.7,0.0,87.8,0.0,0.8,328,3804,85.1,0.1,23.8,0.0,0.4
8,ERIKAR_P5_R1_W_00001.jpg,0.4,9.7,15.7,9.7,15.7,3.9,8.9,15.5,1.6,0.5,1.5,0.4,13.6,0.4,1.7,2105,3776,14.8,0.4,4.2,0.2,0.9
9,ERIKAR_P5_R1_W_00001.jpg,0.3,12.6,19.5,12.6,19.5,3.4,11.8,19.3,1.4,0.4,1.3,0.3,172.6,0.3,1.4,2800,4625,174.7,0.3,4.6,0.2,0.8
