"","label","species","plant_number","leaf_number","area","std_dev","x","y","xm","ym","perim","bx","by","width","height","major","minor","angle","circ","feret","feret_x","feret_y","feret_angle","min_feret","ar","round","solidity","x_1"
"16","ARTCAL_P4_R1_W_00001.jpg","ARTCAL",4,1,0.178862513,22.234765709,16.813877206,6.884175324,16.812804284,6.884214984,4.699424042,16.030188321,6.479570858,1.299288948,0.725576945,0.799198667,0.28495396,9.20673827,0.101774722,1.314329494,3800,1661,8.676255294,0.669967486,2.804658926,0.356549594,0.355964018,27
"17","ARTCAL_P4_R1_W_00001.jpg","ARTCAL",4,2,0.18144286,32.841002391,9.787520831,9.726116763,9.782676272,9.72728612,4.033868996,8.947376165,9.499995815,1.400532243,0.392317767,1.179952161,0.195787789,3.350732712,0.140121948,1.408097434,2121,2323,11.579240853,0.390864579,6.026689247,0.165928582,0.547098436,28
"18","ARTCAL_P4_R1_W_00001.jpg","ARTCAL",4,3,0.158273126,28.057670041,15.949074539,14.988454221,15.948596088,14.988387664,4.315140545,15.203368081,14.612782195,1.24023036,0.569493532,0.836783403,0.240826482,11.724476313,0.106813748,1.240488606,3604,3594,1.169139328,0.555172174,3.474632008,0.287800261,0.381087045,31
"19","ARTCAL_P4_R1_W_00001.jpg","ARTCAL",4,4,0.154091185,24.995062513,9.67197705,16.473356465,9.670661362,16.474265861,3.936005042,9.04861946,16.215801027,1.122113182,0.565275062,0.819258743,0.239478665,18.729847691,0.124990316,1.20658584,2145,3972,24.14554196,0.449779606,3.421009309,0.292311394,0.436397541,32
"20","ARTCAL_P4_R1_W_00001.jpg","ARTCAL",4,5,0.14996263,35.01643206,12.231899058,24.216988552,12.228032271,24.216645026,3.699637682,11.486895473,23.990442363,1.282415066,0.350133061,1.092787826,0.174725914,178.90160624,0.137681163,1.283774247,2723,5744,2.636758426,0.34955102,6.254297395,0.159890062,0.543291857,33
"21","ARTCAL_P5_R1_W_00001.jpg","ARTCAL",5,1,0.24716162,14.651391148,15.838532804,5.864442427,15.839074354,5.864230751,7.757181853,14.684496196,5.218248145,1.851908598,1.079928476,0.855727215,0.367752647,18.713909048,0.051615834,2.012922278,3481,1464,23.072458016,1.059311381,2.326909735,0.42975453,0.209680098,34
"22","ARTCAL_P5_R1_W_00001.jpg","ARTCAL",5,2,0.25561448,12.208860175,9.789701135,9.467929682,9.789684883,9.467703807,7.797495031,8.803948165,8.943157695,1.750665303,1.295070477,0.842956424,0.386091683,152.60552217,0.052830546,1.862372362,2088,2125,159.307247188,1.11968282,2.183306355,0.458020927,0.205948771,36
"23","ARTCAL_P5_R1_W_00001.jpg","ARTCAL",5,3,0.23780119,12.656817184,16.319815229,14.165919001,16.31957224,14.1658759,7.004568043,15.308829846,13.503324425,1.607237303,1.24444883,0.70750777,0.4279499,15.43727559,0.060906153,1.686206659,3629,3382,18.072322149,1.11175798,1.653249062,0.60486954,0.211615662,38
"24","ARTCAL_P5_R1_W_00001.jpg","ARTCAL",5,4,0.174538208,10.291473449,9.838734532,17.504445305,9.838612951,17.504550261,5.574776172,9.014871695,16.99199962,1.404750713,0.906971181,0.670313176,0.331530032,18.208471408,0.070574126,1.513484729,2137,4228,22.275897848,0.889784275,2.021877696,0.494589758,0.226118431,39
"25","ARTCAL_P5_R1_W_00001.jpg","ARTCAL",5,5,0.230629606,18.014378617,13.436034611,23.036180368,13.435598425,23.035785453,5.742243063,12.613227126,22.678498003,1.371002948,0.818383298,0.821814576,0.357315072,156.20496399,0.087894516,1.513537639,2990,5388,154.934869642,0.813924143,2.29997176,0.434787947,0.322376031,40
"26","ARTCAL_P6_R1_W_00001.jpg","ARTCAL",6,1,0.483556966,15.286492711,17.258475144,4.415147857,17.257405302,4.41476193,14.112644754,15.422728553,3.809278961,2.982458722,1.341473654,1.551657287,0.396791132,163.566780586,0.030509893,3.116721882,3658,962,162.595086917,1.312189028,3.910514021,0.255720858,0.205810845,42
"27","ARTCAL_P6_R1_W_00001.jpg","ARTCAL",6,2,0.552158597,90.166233896,10.307194756,8.544705009,10.280803536,8.519216053,13.539253854,8.694267929,7.707145806,2.564830131,1.396313772,1.273241213,0.552157874,171.010032147,0.0378516,2.577288766,2061,1959,174.364059302,1.378766559,2.305936895,0.433663212,0.265066314,43
"28","ARTCAL_P6_R1_W_00001.jpg","ARTCAL",6,3,0.658806994,100.449589712,17.508555112,12.885093319,17.45861083,12.863243402,14.038759428,15.743332319,12.069044417,2.767316721,1.632548126,1.371843241,0.611454058,179.488367117,0.04200593,2.780384987,3732,3068,8.990703844,1.418681136,2.243575331,0.445717149,0.268317696,45
"29","ARTCAL_P6_R1_W_00001.jpg","ARTCAL",6,4,0.608178813,98.453045286,9.462452217,16.868186964,9.435111734,16.839078626,12.190760678,7.60168404,16.321262793,3.03729884,1.219138006,1.568856026,0.493580865,171.522185647,0.05142562,3.055990086,1802,3893,173.659808254,1.149506618,3.178518731,0.314611958,0.29124625,46
"30","ARTCAL_P6_R1_W_00001.jpg","ARTCAL",6,5,0.386518136,55.987470807,12.831110745,22.823619219,12.822281226,22.815071219,9.57796812,11.372996766,22.286180236,2.172512365,1.227574948,1.112155205,0.442501346,154.072796072,0.052945977,2.294514543,2696,5335,161.231939933,1.220264697,2.513337447,0.397877333,0.244106656,47
"31","ARTCAL_P7_R1_W_00001.jpg","ARTCAL",7,1,0.255632276,38.14778232,17.317861277,4.516915293,17.316634015,4.516833636,5.514094416,16.481564676,4.100353434,1.375221419,0.746669298,0.937666045,0.347118384,19.839964354,0.105651862,1.417035705,3907,1143,13.953505938,0.652462391,2.701286043,0.370194042,0.455735156,49
"32","ARTCAL_P7_R1_W_00001.jpg","ARTCAL",7,2,0.175018686,51.853392233,10.436212557,8.920825536,10.430966553,8.923398127,5.307265176,9.681390052,8.382101103,1.248667301,0.961811299,0.793346579,0.280886965,27.533808782,0.07808232,1.357620245,2295,2214,43.615097078,0.681824463,2.82443359,0.354053288,0.319219721,50
"33","ARTCAL_P7_R1_W_00001.jpg","ARTCAL",7,3,0.138537923,58.825710387,16.217998046,12.845636137,16.212630571,12.849282887,4.30518331,15.557719612,12.486673008,1.0335253,0.603241297,0.655810646,0.268967823,11.623648863,0.093928036,1.064501616,3688,3076,24.838573457,0.583282878,2.438249444,0.41013031,0.40507844,52
"34","ARTCAL_P7_R1_W_00001.jpg","ARTCAL",7,4,0.166939532,35.830271846,10.654708499,16.501949454,10.653083458,16.502805263,4.128183162,10.077926289,16.16096091,0.974466711,0.704484592,0.744876945,0.285354534,31.627346414,0.12309804,1.038343786,2389,3995,20.201867547,0.491087127,2.610356083,0.383089497,0.517501034,53
"35","ARTCAL_P7_R1_W_00001.jpg","ARTCAL",7,5,0.182866499,42.4425592,12.465287956,22.224053445,12.468493609,22.224645203,4.959097692,11.782188416,21.936047176,1.1769533,0.62433365,0.71486082,0.325703762,175.069760904,0.09344126,1.177142285,2793,5254,178.97330382,0.583680944,2.194819043,0.455618427,0.445089334,54
"36","ARTCAL_P8_R1_W_00001.jpg","ARTCAL",8,1,0.174378049,19.051561035,17.372288137,3.293423806,17.372136033,3.293342775,6.065317953,16.624992677,2.889652368,1.257104242,0.776198592,0.680840359,0.326104386,176.022226286,0.059565465,1.279893994,3941,755,169.171533332,0.674488759,2.087798839,0.478973348,0.294449953,60
"37","ARTCAL_P8_R1_W_00001.jpg","ARTCAL",8,2,0.189664378,32.041181996,11.050269912,6.442792824,11.050928583,6.442900896,4.356477295,10.347908408,6.074597679,1.138987065,0.704484592,0.780179378,0.309529056,4.282073725,0.125581228,1.156915084,2453,1544,19.82246457,0.636203171,2.520536804,0.396740884,0.41674324,61
"38","ARTCAL_P8_R1_W_00001.jpg","ARTCAL",8,3,0.275545434,35.662733796,16.333848187,10.313305452,16.333198354,10.312696062,5.516141561,15.528190318,9.80794417,1.282415066,0.906971181,0.835729122,0.419795521,4.392289124,0.113797383,1.433783631,3681,2491,26.565051177,0.785195967,1.990800474,0.502310509,0.411278006,62
"39","ARTCAL_P8_R1_W_00001.jpg","ARTCAL",8,4,0.097572695,40.644350617,10.092153145,14.176994485,10.088469306,14.174277705,2.895233165,9.521088168,13.836583603,1.155860947,0.510434944,0.775896782,0.160115903,161.683977868,0.146275326,1.206512094,2257,3291,163.339132036,0.293940562,4.84584458,0.206362376,0.408919715,64
"40","ARTCAL_P8_R1_W_00001.jpg","ARTCAL",8,5,0.328309074,28.111891617,12.875807314,19.94009675,12.878531007,19.940290165,8.342225898,11.777969945,19.358561632,1.754883774,1.075710006,1.034206442,0.404190188,6.020589008,0.059282821,1.813809917,2792,4773,16.622662708,1.035831361,2.558712388,0.390821573,0.305669693,65
"41","ARTCAL_P9_R1_W_00001.jpg","ARTCAL",9,1,0.229615263,24.87858013,16.981851326,4.635227096,16.983705781,4.635915825,6.506655505,15.950037379,4.382990965,1.72957295,0.852131063,0.967585002,0.302149405,166.283891501,0.068154571,1.766955148,3781,1058,165.764698458,0.845357996,3.202339589,0.312271691,0.266280066,66
"42","ARTCAL_P9_R1_W_00001.jpg","ARTCAL",9,2,0.301900561,25.472656911,11.39265474,7.788559056,11.391387831,7.787365573,8.427897374,10.238228172,7.217803215,1.813942363,1.092583888,0.922785624,0.416555831,7.769104774,0.053411565,1.863996052,2428,1876,17.245729786,1.027209692,2.215274772,0.451411271,0.26346236,67
"43","ARTCAL_P9_R1_W_00001.jpg","ARTCAL",9,3,0.31304054,16.281068403,16.928058891,12.7342533,16.928315258,12.73431823,10.1271019,15.760206202,12.178724653,1.915185657,1.079928476,1.026091011,0.388440782,172.684241286,0.038356599,1.975803022,3736,2993,165.281342956,0.988929437,2.641563548,0.378563673,0.256023636,69
"44","ARTCAL_P9_R1_W_00001.jpg","ARTCAL",9,4,0.203153363,20.872668837,11.199859883,15.552698908,11.200214884,15.552815673,6.269252092,10.263538996,15.173838787,1.653640479,0.949155887,0.926574628,0.279160348,162.976811378,0.064953478,1.734402017,2433,3610,162.446455174,0.819713305,3.319148425,0.301282098,0.246664434,70
"45","ARTCAL_P9_R1_W_00001.jpg","ARTCAL",9,5,0.277431756,22.742487411,14.256342264,19.550089669,14.255925905,19.550126434,8.193958526,13.136317482,18.902966807,1.847690127,0.991340594,0.977925293,0.361210703,16.302616466,0.05192524,1.853248607,3114,4708,4.438716368,0.908062666,2.70735414,0.369364312,0.275665735,71
