 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,HETARB_P2_R1_W_00003.jpg,15.2,17.0,4.5,17.0,4.5,25.9,12.8,2.7,7.1,3.8,5.9,3.3,164.6,0.3,7.2,3033,861,164.5,3.6,1.8,0.6,0.9
2,HETARB_P2_R1_W_00003.jpg,19.7,5.2,8.6,5.2,8.6,63.4,0.9,6.2,8.5,6.5,7.3,3.4,6.2,0.1,9.2,322,2990,30.7,6.3,2.1,0.5,0.5
3,HETARB_P2_R1_W_00003.jpg,0.2,1.1,7.5,1.1,7.5,2.9,0.9,7.2,0.4,0.6,0.6,0.4,90.6,0.3,0.7,216,1708,123.8,0.4,1.5,0.7,0.9
4,HETARB_P2_R1_W_00003.jpg,0.2,1.1,8.1,1.1,8.1,2.8,0.9,7.8,0.4,0.6,0.7,0.4,91.4,0.3,0.7,218,1854,123.6,0.4,1.5,0.6,0.9
5,HETARB_P2_R1_W_00003.jpg,0.2,1.1,8.7,1.1,8.7,2.9,0.9,8.4,0.4,0.6,0.7,0.4,90.7,0.3,0.7,219,2001,123.0,0.4,1.6,0.6,0.9
6,HETARB_P2_R1_W_00003.jpg,0.4,1.1,9.7,1.1,9.7,5.7,0.9,9.1,0.4,1.2,1.3,0.4,90.2,0.2,1.2,221,2432,72.2,0.4,3.0,0.3,0.9
7,HETARB_P2_R1_W_00003.jpg,0.0,12.0,9.8,12.0,9.8,0.5,12.0,9.7,0.1,0.1,0.2,0.1,133.6,0.7,0.2,2838,2312,143.7,0.1,1.6,0.6,0.9
8,HETARB_P2_R1_W_00003.jpg,0.2,1.1,10.6,1.1,10.6,2.9,0.9,10.3,0.4,0.6,0.7,0.4,91.5,0.3,0.7,220,2579,56.6,0.4,1.5,0.6,0.9
9,HETARB_P2_R1_W_00003.jpg,0.2,1.1,11.2,1.1,11.2,2.8,0.9,10.9,0.4,0.6,0.7,0.4,91.1,0.3,0.7,220,2586,124.1,0.4,1.5,0.6,0.9
10,HETARB_P2_R1_W_00003.jpg,0.2,1.1,11.8,1.1,11.8,2.8,0.9,11.5,0.4,0.6,0.6,0.4,90.7,0.4,0.7,222,2733,124.1,0.4,1.5,0.7,0.9
11,HETARB_P2_R1_W_00003.jpg,0.2,1.1,12.4,1.1,12.4,2.8,0.9,12.1,0.4,0.6,0.7,0.4,91.2,0.4,0.7,223,3021,58.2,0.4,1.6,0.6,0.9
12,HETARB_P2_R1_W_00003.jpg,16.4,16.9,14.4,16.9,14.4,27.2,12.5,12.3,7.4,3.9,6.1,3.4,14.5,0.3,7.6,2952,3619,13.1,3.8,1.8,0.6,0.8
13,HETARB_P2_R1_W_00003.jpg,0.7,1.7,13.2,1.7,13.2,7.0,1.4,12.6,0.7,1.1,1.2,0.7,91.3,0.2,1.3,323,2998,120.4,0.7,1.7,0.6,0.9
14,HETARB_P2_R1_W_00003.jpg,0.2,1.1,13.1,1.1,13.0,2.8,0.9,12.8,0.4,0.6,0.6,0.4,90.1,0.3,0.7,224,3162,56.0,0.4,1.5,0.7,0.9
15,HETARB_P2_R1_W_00003.jpg,0.2,1.1,13.7,1.1,13.7,2.8,0.9,13.4,0.4,0.6,0.7,0.4,90.9,0.4,0.7,224,3313,57.7,0.4,1.6,0.6,0.9
16,HETARB_P2_R1_W_00003.jpg,1.3,1.7,14.9,1.7,14.8,13.6,1.4,13.8,0.7,2.2,2.4,0.7,90.4,0.1,2.3,324,3262,106.4,0.7,3.5,0.3,0.9
17,HETARB_P2_R1_W_00003.jpg,0.2,1.1,14.3,1.1,14.3,2.8,0.9,14.0,0.4,0.6,0.6,0.4,90.0,0.3,0.7,225,3459,56.7,0.4,1.5,0.7,0.9
18,HETARB_P2_R1_W_00003.jpg,0.2,1.1,14.9,1.1,14.9,2.8,0.9,14.6,0.4,0.6,0.7,0.4,90.6,0.4,0.7,225,3466,123.1,0.4,1.6,0.6,0.9
19,HETARB_P2_R1_W_00003.jpg,0.2,1.1,15.5,1.1,15.5,2.9,0.9,15.2,0.4,0.6,0.7,0.4,91.1,0.3,0.7,227,3755,57.6,0.4,1.5,0.6,0.9
20,HETARB_P2_R1_W_00003.jpg,0.2,1.1,16.2,1.1,16.1,2.8,0.9,15.9,0.4,0.6,0.6,0.4,91.2,0.3,0.7,226,3761,124.2,0.4,1.5,0.7,0.9
21,HETARB_P2_R1_W_00003.jpg,2.8,1.7,18.2,1.7,18.2,30.0,1.4,15.9,0.8,4.5,4.8,0.7,90.0,0.0,4.5,332,4839,81.9,0.8,6.5,0.2,0.9
22,HETARB_P2_R1_W_00003.jpg,0.2,1.1,16.8,1.1,16.8,2.8,0.9,16.5,0.4,0.6,0.6,0.4,90.7,0.3,0.7,228,4042,57.0,0.4,1.5,0.7,0.9
