 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MANDEN_P3_R1_W_00001.jpg,0.1,10.6,0.0,10.6,0.0,3.2,9.8,0.0,1.5,0.1,1.7,0.1,0.0,0.1,1.5,2331,10,1.4,0.1,29.8,0.0,1.0
2,MANDEN_P3_R1_W_00001.jpg,0.1,17.0,0.0,17.0,0.0,4.4,15.9,0.0,2.1,0.1,2.3,0.1,0.0,0.1,2.1,3777,12,0.9,0.1,41.0,0.0,1.0
3,MANDEN_P3_R1_W_00001.jpg,3.8,17.8,3.8,17.8,3.8,10.1,15.7,2.9,3.8,1.7,3.4,1.4,17.0,0.5,4.0,3710,1068,18.1,1.5,2.4,0.4,0.9
4,MANDEN_P3_R1_W_00001.jpg,2.4,12.9,6.6,12.9,6.6,8.8,11.0,5.9,3.4,1.2,3.0,1.0,13.2,0.4,3.4,2616,1651,12.2,1.1,2.8,0.4,0.9
5,MANDEN_P3_R1_W_00001.jpg,0.0,0.3,6.6,0.3,6.6,1.5,0.2,6.5,0.2,0.2,0.1,0.1,110.6,0.1,0.2,73,1592,78.9,0.2,1.1,0.9,0.4
6,MANDEN_P3_R1_W_00001.jpg,33.7,4.9,16.2,4.9,16.1,87.9,3.5,8.6,2.9,15.2,16.9,2.5,92.5,0.1,15.2,993,5623,84.4,2.4,6.7,0.2,0.9
7,MANDEN_P3_R1_W_00001.jpg,2.2,15.8,12.4,15.8,12.4,7.7,14.1,11.9,3.2,1.1,2.7,1.0,175.3,0.5,3.2,3348,2967,0.5,1.1,2.7,0.4,0.9
8,MANDEN_P3_R1_W_00001.jpg,2.5,11.1,15.7,11.1,15.7,8.9,9.2,15.1,3.5,1.1,3.1,1.1,1.4,0.4,3.5,2188,3690,177.5,1.1,2.9,0.3,0.9
9,MANDEN_P3_R1_W_00001.jpg,2.0,15.7,19.4,15.7,19.4,8.3,13.8,18.9,3.3,1.0,2.8,0.9,0.6,0.4,3.3,3276,4551,177.5,1.0,3.0,0.3,0.9
10,MANDEN_P3_R1_W_00001.jpg,0.0,14.0,26.7,14.0,26.7,0.6,14.0,26.7,0.1,0.2,0.2,0.1,104.6,0.5,0.2,3314,6320,120.3,0.1,1.4,0.7,0.9
