 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MALLAU_P8_R1_W_00001.jpg,12.2,16.5,4.4,16.5,4.4,21.0,11.9,3.1,7.9,2.9,6.2,2.5,13.1,0.3,8.1,2828,1291,13.0,2.7,2.5,0.4,0.9
2,MALLAU_P8_R1_W_00001.jpg,12.5,5.7,7.3,5.7,7.3,20.3,1.3,5.7,7.8,3.0,6.0,2.7,169.1,0.4,7.9,304,1573,168.7,2.9,2.3,0.4,0.9
3,MALLAU_P8_R1_W_00001.jpg,32.5,3.3,18.1,3.4,18.1,101.3,0.0,10.6,10.3,15.1,6.7,6.2,119.1,0.0,15.1,1,2504,93.9,10.3,1.1,0.9,0.4
4,MALLAU_P8_R1_W_00001.jpg,0.3,20.8,16.7,20.8,16.7,22.4,20.8,11.8,0.2,9.9,10.8,0.0,89.3,0.0,9.9,4920,5139,89.1,0.1,275.0,0.0,0.6
5,MALLAU_P8_R1_W_00001.jpg,8.5,15.6,14.5,15.6,14.5,17.8,11.4,13.4,7.2,2.1,5.5,2.0,178.5,0.3,7.2,2714,3356,176.4,2.1,2.8,0.4,0.8
6,MALLAU_P8_R1_W_00001.jpg,0.1,0.2,19.5,0.2,19.5,1.2,0.0,19.3,0.4,0.4,0.4,0.4,67.0,0.9,0.4,0,4605,149.7,0.4,1.0,1.0,1.0
7,MALLAU_P8_R1_W_00001.jpg,0.2,20.8,24.1,20.8,24.1,11.6,20.7,21.7,0.1,4.8,5.2,0.0,89.3,0.0,4.8,4912,6279,89.1,0.1,129.9,0.0,0.6
8,MALLAU_P8_R1_W_00001.jpg,7.9,15.9,25.1,15.9,25.1,16.3,12.4,23.9,6.2,2.2,4.9,2.0,176.0,0.4,6.2,2937,5932,178.0,2.2,2.4,0.4,0.9
9,MALLAU_P8_R1_W_00001.jpg,0.0,20.7,26.8,20.7,26.8,1.5,20.7,26.5,0.1,0.6,0.6,0.0,89.2,0.1,0.6,4905,6419,85.5,0.1,15.8,0.1,0.7
10,MALLAU_P8_R1_W_00001.jpg,0.0,14.2,26.7,14.2,26.7,0.7,14.1,26.6,0.1,0.2,0.2,0.1,106.5,0.4,0.2,3358,6317,119.6,0.1,1.4,0.7,0.9
11,MALLAU_P8_R1_W_00001.jpg,0.0,20.7,27.3,20.7,27.3,1.8,20.7,27.1,0.0,0.5,0.5,0.0,88.6,0.1,0.5,4904,6540,84.8,0.0,12.3,0.1,0.7
