 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MALLAU_P2_R1_W_00002.jpg,12.9,14.9,3.3,14.9,3.3,21.9,10.1,1.8,8.0,2.9,6.1,2.7,177.1,0.3,8.0,2404,975,3.5,2.9,2.3,0.4,0.8
2,MALLAU_P2_R1_W_00002.jpg,18.7,8.2,7.4,8.2,7.4,28.2,2.4,5.2,10.4,3.9,7.9,3.0,171.9,0.3,10.6,572,1254,167.4,3.3,2.6,0.4,0.8
3,MALLAU_P2_R1_W_00002.jpg,31.1,1.2,14.4,1.2,14.4,205.9,0.0,6.7,21.0,20.9,13.3,3.0,92.4,0.0,29.6,0,1601,135.3,15.6,4.4,0.2,0.1
4,MALLAU_P2_R1_W_00002.jpg,0.0,2.2,7.0,2.2,7.0,1.1,2.2,6.8,0.1,0.5,0.6,0.0,89.9,0.2,0.5,517,1604,93.3,0.1,13.8,0.1,0.8
5,MALLAU_P2_R1_W_00002.jpg,0.0,2.2,10.5,2.2,10.5,1.0,2.2,10.3,0.0,0.5,0.5,0.0,90.2,0.2,0.5,520,2440,92.0,0.0,13.1,0.1,0.8
6,MALLAU_P2_R1_W_00002.jpg,16.3,16.0,13.2,16.0,13.2,25.6,10.1,11.4,9.7,3.5,7.4,2.8,165.6,0.3,9.9,2389,2897,169.8,3.1,2.6,0.4,0.8
7,MALLAU_P2_R1_W_00002.jpg,0.0,2.2,13.4,2.2,13.4,1.1,2.2,13.2,0.0,0.5,0.5,0.0,90.3,0.2,0.5,524,3240,86.1,0.0,13.5,0.1,0.9
8,MALLAU_P2_R1_W_00002.jpg,22.3,11.4,17.0,11.4,17.0,32.9,4.5,14.1,12.6,4.5,9.6,3.0,173.9,0.3,12.8,1067,3410,168.6,3.3,3.3,0.3,0.8
9,MALLAU_P2_R1_W_00002.jpg,25.2,13.0,22.0,13.0,22.0,33.2,5.4,20.4,13.5,3.3,10.5,3.1,177.5,0.3,13.5,1280,5007,175.5,3.3,3.4,0.3,0.8
