 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,SALAPI_P1_R1_W_00002.jpg,1.3,9.6,0.3,9.6,0.3,51.5,0.3,0.0,20.9,4.2,3.8,0.4,3.4,0.0,21.4,78,1006,11.5,4.1,8.8,0.1,0.0
2,SALAPI_P1_R1_W_00002.jpg,0.0,7.1,0.9,7.1,0.9,0.5,7.1,0.8,0.1,0.2,0.2,0.1,104.4,0.7,0.2,1675,192,121.4,0.1,1.4,0.7,0.9
3,SALAPI_P1_R1_W_00002.jpg,8.0,17.5,3.8,17.5,3.8,16.5,15.6,2.0,4.4,3.9,4.7,2.2,139.0,0.4,5.8,3716,480,137.5,2.3,2.2,0.5,0.9
4,SALAPI_P1_R1_W_00002.jpg,30.4,1.1,11.6,1.1,11.6,77.1,0.0,4.2,2.4,15.1,16.8,2.3,88.2,0.1,15.2,78,1007,95.5,2.2,7.3,0.1,1.0
5,SALAPI_P1_R1_W_00002.jpg,7.2,7.9,8.3,7.9,8.3,14.6,4.9,7.2,5.3,2.2,4.4,2.1,2.6,0.4,5.3,1156,2015,2.9,2.2,2.2,0.5,0.9
6,SALAPI_P1_R1_W_00002.jpg,9.6,16.7,13.5,16.7,13.5,17.8,13.2,12.1,6.1,2.8,5.2,2.3,159.2,0.4,6.4,3124,2937,160.9,2.6,2.3,0.4,0.9
7,SALAPI_P1_R1_W_00002.jpg,8.3,10.7,18.2,10.7,18.2,15.8,7.4,17.0,5.9,2.3,4.9,2.1,179.9,0.4,5.9,1760,4284,178.9,2.3,2.3,0.4,0.9
8,SALAPI_P1_R1_W_00002.jpg,8.4,15.9,22.7,16.0,22.7,16.2,12.7,21.5,5.8,2.5,4.9,2.2,13.3,0.4,6.0,3001,5548,12.2,2.4,2.2,0.5,0.9
9,SALAPI_P1_R1_W_00002.jpg,0.1,21.2,25.2,21.2,25.2,7.8,21.1,23.4,0.2,3.6,3.8,0.0,87.5,0.0,3.6,5000,6395,87.3,0.1,99.8,0.0,0.6
10,SALAPI_P1_R1_W_00002.jpg,0.0,21.1,27.2,21.1,27.2,1.1,21.0,27.0,0.1,0.4,0.3,0.0,85.7,0.1,0.4,4992,6478,81.8,0.1,7.9,0.1,0.7
