 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,SALAPI_P3_R1_W_00001.jpg,0.0,7.0,0.9,7.0,0.9,0.5,6.9,0.8,0.1,0.2,0.2,0.1,107.3,0.6,0.2,1637,192,121.4,0.1,1.4,0.7,0.9
2,SALAPI_P3_R1_W_00001.jpg,31.0,1.1,11.0,1.0,11.0,68.4,0.0,3.5,2.2,15.1,17.0,2.3,89.9,0.1,15.3,0,4411,82.5,2.2,7.3,0.1,1.0
3,SALAPI_P3_R1_W_00001.jpg,9.8,13.1,5.4,13.2,5.4,21.0,9.1,3.5,7.0,4.4,6.6,1.9,31.3,0.3,8.2,2173,1879,32.1,2.1,3.5,0.3,0.9
4,SALAPI_P3_R1_W_00001.jpg,9.2,7.6,8.5,7.7,8.5,19.9,3.4,7.3,7.4,2.5,6.2,1.9,163.5,0.3,7.7,809,1797,164.5,2.1,3.3,0.3,0.9
5,SALAPI_P3_R1_W_00001.jpg,8.2,14.9,13.8,14.9,13.8,17.1,12.1,12.7,6.6,2.2,5.6,1.9,166.2,0.4,6.8,2877,3075,164.9,2.1,3.0,0.3,0.9
6,SALAPI_P3_R1_W_00001.jpg,8.7,9.2,16.0,9.2,16.0,17.9,5.2,15.0,7.1,2.1,5.9,1.9,176.5,0.3,7.1,1221,3754,176.5,2.1,3.1,0.3,0.9
7,SALAPI_P3_R1_W_00001.jpg,6.7,14.3,20.2,14.3,20.2,16.0,11.3,18.7,5.7,2.8,5.4,1.6,155.5,0.3,6.3,2693,4460,154.3,1.7,3.4,0.3,0.9
