 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,ARTCAL_P6_R1_W_00001.jpg,0.3,21.2,4.9,21.2,4.9,21.3,21.0,0.0,0.3,9.9,10.7,0.0,91.8,0.0,9.9,4988,0,91.8,0.1,261.1,0.0,0.7
2,ARTCAL_P6_R1_W_00001.jpg,0.5,17.3,4.4,17.3,4.4,14.1,15.4,3.8,3.0,1.3,1.6,0.4,163.6,0.0,3.1,3658,962,162.6,1.3,3.9,0.3,0.2
3,ARTCAL_P6_R1_W_00001.jpg,0.6,10.3,8.5,10.3,8.5,13.5,8.7,7.7,2.6,1.4,1.3,0.6,171.0,0.0,2.6,2061,1959,174.4,1.4,2.3,0.4,0.3
4,ARTCAL_P6_R1_W_00001.jpg,32.9,2.7,17.8,2.7,17.8,118.3,1.2,10.2,3.2,15.1,16.8,2.5,86.6,0.0,15.2,286,5982,78.4,2.4,6.8,0.1,0.9
5,ARTCAL_P6_R1_W_00001.jpg,0.7,17.5,12.9,17.5,12.9,14.0,15.7,12.1,2.8,1.6,1.4,0.6,179.5,0.0,2.8,3732,3068,9.0,1.4,2.2,0.4,0.3
6,ARTCAL_P6_R1_W_00001.jpg,0.0,1.8,13.8,1.8,13.8,2.4,1.8,13.3,0.1,0.9,0.9,0.0,86.4,0.0,0.9,427,3368,86.0,0.1,30.8,0.0,0.5
7,ARTCAL_P6_R1_W_00001.jpg,0.6,9.5,16.9,9.4,16.8,12.2,7.6,16.3,3.0,1.2,1.6,0.5,171.5,0.1,3.1,1802,3893,173.7,1.1,3.2,0.3,0.3
8,ARTCAL_P6_R1_W_00001.jpg,0.4,12.8,22.8,12.8,22.8,9.6,11.4,22.3,2.2,1.2,1.1,0.4,154.1,0.1,2.3,2696,5335,161.2,1.2,2.5,0.4,0.2
9,ARTCAL_P6_R1_W_00001.jpg,0.1,0.1,25.8,0.1,25.8,8.5,0.0,23.8,0.2,3.8,4.1,0.0,91.9,0.0,3.8,4,5636,92.7,0.1,92.0,0.0,0.6
10,ARTCAL_P6_R1_W_00001.jpg,0.0,14.2,26.7,14.2,26.7,0.5,14.1,26.7,0.1,0.2,0.2,0.1,105.9,0.7,0.2,3356,6320,121.4,0.1,1.4,0.7,0.9
