 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,SALAPI_P7_R1_W_00002.jpg,0.4,0.2,3.9,0.2,3.9,19.4,0.1,0.0,0.7,8.4,3.5,0.1,88.5,0.0,8.4,19,1987,85.0,0.7,26.8,0.0,0.1
2,SALAPI_P7_R1_W_00002.jpg,0.0,20.8,0.1,20.8,0.1,2.6,20.2,0.0,1.1,0.0,1.1,0.0,179.2,0.1,1.1,4780,12,178.2,0.0,26.1,0.0,0.8
3,SALAPI_P7_R1_W_00002.jpg,0.0,7.1,0.9,7.1,0.9,0.5,7.1,0.8,0.1,0.2,0.2,0.1,104.1,0.7,0.2,1680,192,120.3,0.1,1.4,0.7,0.9
4,SALAPI_P7_R1_W_00002.jpg,3.8,16.5,5.0,16.5,5.0,12.8,13.5,4.3,5.1,1.5,4.1,1.2,13.8,0.3,5.2,3188,1332,11.7,1.4,3.4,0.3,0.8
5,SALAPI_P7_R1_W_00002.jpg,4.6,9.6,9.0,9.6,9.0,13.5,6.6,8.0,5.1,1.9,4.3,1.4,161.0,0.3,5.3,1561,1933,163.6,1.5,3.2,0.3,0.9
6,SALAPI_P7_R1_W_00002.jpg,31.6,1.1,15.9,1.1,15.9,92.4,0.0,8.4,2.2,15.1,16.9,2.4,89.7,0.0,15.2,0,5563,81.9,2.2,7.1,0.1,1.0
7,SALAPI_P7_R1_W_00002.jpg,4.4,15.7,14.8,15.7,14.8,12.1,13.1,14.0,4.8,1.6,4.0,1.4,166.1,0.4,4.9,3095,3354,165.8,1.5,2.9,0.3,0.9
8,SALAPI_P7_R1_W_00002.jpg,3.6,9.1,19.4,9.1,19.4,11.3,6.9,18.0,3.7,2.6,3.6,1.3,145.7,0.3,4.4,1644,4282,146.7,1.4,2.9,0.3,0.9
9,SALAPI_P7_R1_W_00002.jpg,3.3,14.0,23.3,14.0,23.3,11.6,11.2,22.6,4.7,1.4,3.8,1.1,169.5,0.3,4.8,2662,5428,170.0,1.3,3.4,0.3,0.8
