 ,Label,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,ARTCAL_P5_R1_W_00001.jpg,0.2,15.8,5.9,15.8,5.9,7.8,14.7,5.2,1.9,1.1,0.9,0.4,18.7,0.1,2.0,3481,1464,23.1,1.1,2.3,0.4,0.2
2,ARTCAL_P5_R1_W_00001.jpg,0.8,20.9,17.2,20.9,17.2,47.0,20.7,6.6,0.5,21.0,23.0,0.0,88.8,0.0,21.0,4908,6544,88.8,0.1,513.1,0.0,0.7
3,ARTCAL_P5_R1_W_00001.jpg,0.3,9.8,9.5,9.8,9.5,7.8,8.8,8.9,1.8,1.3,0.8,0.4,152.6,0.1,1.9,2088,2125,159.3,1.1,2.2,0.5,0.2
4,ARTCAL_P5_R1_W_00001.jpg,33.0,2.1,17.2,2.1,17.1,109.3,0.2,9.6,3.8,15.2,16.9,2.5,84.2,0.0,15.2,62,5813,76.2,2.3,6.8,0.1,0.9
5,ARTCAL_P5_R1_W_00001.jpg,0.2,16.3,14.2,16.3,14.2,7.0,15.3,13.5,1.6,1.2,0.7,0.4,15.4,0.1,1.7,3629,3382,18.1,1.1,1.7,0.6,0.2
6,ARTCAL_P5_R1_W_00001.jpg,0.2,9.8,17.5,9.8,17.5,5.6,9.0,17.0,1.4,0.9,0.7,0.3,18.2,0.1,1.5,2137,4228,22.3,0.9,2.0,0.5,0.2
7,ARTCAL_P5_R1_W_00001.jpg,0.2,13.4,23.0,13.4,23.0,5.7,12.6,22.7,1.4,0.8,0.8,0.4,156.2,0.1,1.5,2990,5388,154.9,0.8,2.3,0.4,0.3
8,ARTCAL_P5_R1_W_00001.jpg,0.0,14.2,26.7,14.2,26.7,0.5,14.2,26.7,0.1,0.2,0.2,0.1,106.4,0.7,0.2,3361,6320,121.4,0.1,1.4,0.7,0.9
9,ARTCAL_P5_R1_W_00001.jpg,0.0,20.4,27.2,20.4,27.2,0.7,20.3,27.2,0.2,0.1,0.2,0.1,168.7,0.4,0.2,4816,6455,173.7,0.1,2.0,0.5,0.8
